tahun,bulan,provinsi,nama_pintu_masuk,jenis_pintu_masuk,jumlah_kunjungan_wisman
2023,September,JAWA BARAT,Husein Sastranegara,Udara,0
2023,September,DI YOGYAKARTA,Adi Sucipto,Udara,11855
2023,September,NUSA TENGGARA BARAT,Bandara Int Lombok,Udara,6294
2023,September,SULAWESI UTARA,Sam Ratulangi,Udara,5922
2023,September,SUMATERA BARAT,Minangkabau,Udara,5453
2023,September,RIAU,Sultan Syarif Kasim II,Udara,2166
2023,September,ACEH,Sultan Iskandar Muda,Udara,2481
2023,September,JAWA TENGAH,Ahmad Yani,Udara,8
2023,September,KALIMANTAN BARAT,Supadio,Udara,0
2023,September,SULAWESI SELATAN,Hasanuddin,Udara,1787
2023,September,SUMATERA SELATAN,Sultan Badaruddin II,Udara,0
2023,September,PROVINSI LAINNYA,Pintu Udara Lainnya,Udara,1840
2023,September,KEP. RIAU,Batam,Laut,101470
2023,September,KEP. RIAU,Tanjung Uban,Laut,20542
2023,September,KEP. RIAU,Tanjung Pinang,Laut,4827
2023,September,KEP. RIAU,Tanjung Balai Karimun,Laut,4345
2023,September,BALI,Tanjung Benoa,Laut,53
2023,September,JAWA TENGAH,Tanjung Mas,Laut,0
2023,September,PROVINSI LAINNYA,Pintu Laut Lainnya,Laut,81533
2023,September,PAPUA,Jayapura,Darat,8408
2023,September,NUSA TENGGARA TIMUR,Atambua,Darat,8942
2023,September,KALIMANTAN BARAT,Entikong,Darat,2418
2023,September,KALIMANTAN BARAT,Aruk,Darat,1878
2023,September,KALIMANTAN BARAT,Nanga Badau,Darat,680
2023,September,PROVINSI LAINNYA,Pintu Darat Lainnya,Darat,57612
2023,Oktober,BALI,Ngurah Rai,Udara,458845
2023,Oktober,DKI JAKARTA,Soekarno-Hatta,Udara,181627
2023,Oktober,JAWA TIMUR,Juanda,Udara,21996
2023,Oktober,SUMATERA UTARA,Kualanamu,Udara,14161
2023,Oktober,JAWA BARAT,Husein Sastranegara,Udara,0
2023,Oktober,DI YOGYAKARTA,Adi Sucipto,Udara,8536
2023,Oktober,NUSA TENGGARA BARAT,Bandara Int Lombok,Udara,5904
2023,Oktober,SULAWESI UTARA,Sam Ratulangi,Udara,4645
2023,Oktober,SUMATERA BARAT,Minangkabau,Udara,4925
2023,Oktober,RIAU,Sultan Syarif Kasim II,Udara,2377
2023,Oktober,ACEH,Sultan Iskandar Muda,Udara,1875
2023,Oktober,JAWA TENGAH,Ahmad Yani,Udara,0
2023,Oktober,KALIMANTAN BARAT,Supadio,Udara,0
2023,Oktober,SULAWESI SELATAN,Hasanuddin,Udara,1175
2023,Oktober,SUMATERA SELATAN,Sultan Badaruddin II,Udara,0
