provinsi,bulan,jumlah_kunjungan_wisnus,tahun
NUSA TENGGARA TIMUR,September,339774,2023
KALIMANTAN BARAT,September,295721,2023
KALIMANTAN TENGAH,September,277704,2023
KALIMANTAN SELATAN,September,517769,2023
KALIMANTAN TIMUR,September,597562,2023
KALIMANTAN UTARA,September,44774,2023
SULAWESI UTARA,September,440086,2023
SULAWESI TENGAH,September,251645,2023
SULAWESI SELATAN,September,1188982,2023
SULAWESI TENGGARA,September,376071,2023
GORONTALO,September,139730,2023
SULAWESI BARAT,September,110449,2023
MALUKU,September,69657,2023
MALUKU UTARA,September,135130,2023
PAPUA BARAT,September,46999,2023
PAPUA,September,107044,2023
ACEH,Oktober,588020,2023
SUMATERA UTARA,Oktober,1958158,2023
SUMATERA BARAT,Oktober,1121805,2023
RIAU,Oktober,908253,2023
JAMBI,Oktober,386128,2023
SUMATERA SELATAN,Oktober,858520,2023
BENGKULU,Oktober,209482,2023
LAMPUNG,Oktober,1058924,2023
KEP. BANGKA BELITUNG,Oktober,173431,2023
KEP. RIAU,Oktober,186323,2023
DKI JAKARTA,Oktober,5538389,2023
JAWA BARAT,Oktober,12937519,2023
JAWA TENGAH,Oktober,8442719,2023
DI YOGYAKARTA,Oktober,2313657,2023
JAWA TIMUR,Oktober,13820919,2023
BANTEN,Oktober,4048337,2023
BALI,Oktober,1874460,2023
NUSA TENGGARA BARAT,Oktober,1326692,2023
NUSA TENGGARA TIMUR,Oktober,345529,2023
KALIMANTAN BARAT,Oktober,312246,2023
KALIMANTAN TENGAH,Oktober,276691,2023
KALIMANTAN SELATAN,Oktober,542022,2023
KALIMANTAN TIMUR,Oktober,560799,2023
KALIMANTAN UTARA,Oktober,51068,2023
SULAWESI UTARA,Oktober,427074,2023
SULAWESI TENGAH,Oktober,264313,2023
SULAWESI SELATAN,Oktober,1177955,2023
SULAWESI TENGGARA,Oktober,365686,2023
GORONTALO,Oktober,131858,2023
SULAWESI BARAT,Oktober,111448,2023
MALUKU,Oktober,79054,2023
MALUKU UTARA,Oktober,126786,2023
PAPUA BARAT,Oktober,53875,2023
PAPUA,Oktober,119299,2023
ACEH,November,637519,2023
SUMATERA UTARA,November,1870337,2023
SUMATERA BARAT,November,904282,2023
RIAU,November,762348,2023
JAMBI,November,371185,2023
SUMATERA SELATAN,November,725317,2023
BENGKULU,November,187859,2023
LAMPUNG,November,894880,2023
KEP. BANGKA BELITUNG,November,137343,2023
KEP. RIAU,November,166685,2023
DKI JAKARTA,November,5724711,2023
JAWA BARAT,November,12661993,2023
JAWA TENGAH,November,8162360,2023
DI YOGYAKARTA,November,2255890,2023
JAWA TIMUR,November,12965607,2023
BANTEN,November,3940520,2023
BALI,November,1777605,2023
NUSA TENGGARA BARAT,November,1287287,2023
NUSA TENGGARA TIMUR,November,335297,2023
KALIMANTAN BARAT,November,356052,2023
KALIMANTAN TENGAH,November,222334,2023
KALIMANTAN SELATAN,November,445758,2023
KALIMANTAN TIMUR,November,564435,2023
KALIMANTAN UTARA,November,42636,2023
SULAWESI UTARA,November,390052,2023
SULAWESI TENGAH,November,284303,2023
SULAWESI SELATAN,November,1233382,2023
SULAWESI TENGGARA,November,386244,2023
GORONTALO,November,125945,2023
SULAWESI BARAT,November,126041,2023
MALUKU,November,78630,2023
MALUKU UTARA,November,123916,2023
PAPUA BARAT,November,57701,2023
PAPUA,November,125457,2023
ACEH,Januari,526417,2022
SUMATERA UTARA,Januari,2022964,2022
SUMATERA BARAT,Januari,926043,2022
RIAU,Januari,636543,2022
JAMBI,Januari,302504,2022
SUMATERA SELATAN,Januari,650971,2022
BENGKULU,Januari,180768,2022
LAMPUNG,Januari,878496,2022
KEP. BANGKA BELITUNG,Januari,122602,2022
KEP. RIAU,Januari,93349,2022
DKI JAKARTA,Januari,3619251,2022
JAWA BARAT,Januari,9395919,2022
JAWA TENGAH,Januari,14173348,2022
DI YOGYAKARTA,Januari,2796450,2022
JAWA TIMUR,Januari,19124849,2022
BANTEN,Januari,2477846,2022
BALI,Januari,991643,2022
NUSA TENGGARA BARAT,Januari,264251,2022
NUSA TENGGARA TIMUR,Januari,498022,2022
KALIMANTAN BARAT,Januari,270324,2022
KALIMANTAN TENGAH,Januari,196995,2022
KALIMANTAN SELATAN,Januari,401029,2022
KALIMANTAN TIMUR,Januari,310053,2022
KALIMANTAN UTARA,Januari,26920,2022
SULAWESI UTARA,Januari,327133,2022
SULAWESI TENGAH,Januari,195589,2022
SULAWESI SELATAN,Januari,930906,2022
SULAWESI TENGGARA,Januari,243982,2022
GORONTALO,Januari,104369,2022
SULAWESI BARAT,Januari,86174,2022
MALUKU,Januari,41334,2022
MALUKU UTARA,Januari,60617,2022
PAPUA BARAT,Januari,35776,2022
PAPUA,Januari,71001,2022
ACEH,Februari,501651,2022
SUMATERA UTARA,Februari,1636066,2022
SUMATERA BARAT,Februari,814741,2022
RIAU,Februari,581783,2022
JAMBI,Februari,255285,2022
SUMATERA SELATAN,Februari,538004,2022
BENGKULU,Februari,137886,2022
LAMPUNG,Februari,694763,2022
KEP. BANGKA BELITUNG,Februari,99338,2022
KEP. RIAU,Februari,75268,2022
DKI JAKARTA,Februari,2756201,2022
JAWA BARAT,Februari,7153882,2022
JAWA TENGAH,Februari,13040775,2022
DI YOGYAKARTA,Februari,2361262,2022
JAWA TIMUR,Februari,19184354,2022
BANTEN,Februari,1976399,2022
BALI,Februari,746026,2022
NUSA TENGGARA BARAT,Februari,233313,2022
NUSA TENGGARA TIMUR,Februari,279400,2022
KALIMANTAN BARAT,Februari,235449,2022
KALIMANTAN TENGAH,Februari,175867,2022
KALIMANTAN SELATAN,Februari,352761,2022
KALIMANTAN TIMUR,Februari,256145,2022
KALIMANTAN UTARA,Februari,23240,2022
SULAWESI UTARA,Februari,260815,2022
SULAWESI TENGAH,Februari,173663,2022
SULAWESI SELATAN,Februari,803391,2022
SULAWESI TENGGARA,Februari,220654,2022
GORONTALO,Februari,88530,2022
SULAWESI BARAT,Februari,83763,2022
MALUKU,Februari,35725,2022
MALUKU UTARA,Februari,55228,2022
PAPUA BARAT,Februari,30984,2022
PAPUA,Februari,63721,2022
ACEH,Maret,585675,2022
SUMATERA UTARA,Maret,1846809,2022
SUMATERA BARAT,Maret,1007630,2022
RIAU,Maret,673534,2022
JAMBI,Maret,313009,2022
SUMATERA SELATAN,Maret,691513,2022
BENGKULU,Maret,172874,2022
LAMPUNG,Maret,866807,2022
KEP. BANGKA BELITUNG,Maret,142414,2022
KEP. RIAU,Maret,105778,2022
DKI JAKARTA,Maret,4586681,2022
JAWA BARAT,Maret,10560424,2022
JAWA TENGAH,Maret,15805048,2022
DI YOGYAKARTA,Maret,2570708,2022
JAWA TIMUR,Maret,27190607,2022
BANTEN,Maret,3158598,2022
BALI,Maret,1216580,2022
NUSA TENGGARA BARAT,Maret,441171,2022
NUSA TENGGARA TIMUR,Maret,440468,2022
KALIMANTAN BARAT,Maret,250992,2022
KALIMANTAN TENGAH,Maret,210680,2022
KALIMANTAN SELATAN,Maret,429164,2022
KALIMANTAN TIMUR,Maret,332387,2022
KALIMANTAN UTARA,Maret,28683,2022
SULAWESI UTARA,Maret,347157,2022
SULAWESI TENGAH,Maret,609507,2022
SULAWESI SELATAN,Maret,3267252,2022
SULAWESI TENGGARA,Maret,1495127,2022
GORONTALO,Maret,151616,2022
SULAWESI BARAT,Maret,425016,2022
MALUKU,Maret,49734,2022
MALUKU UTARA,Maret,141231,2022
PAPUA BARAT,Maret,37297,2022
PAPUA,Maret,76243,2022
ACEH,April,434633,2022
SUMATERA UTARA,April,1658463,2022
SUMATERA BARAT,April,838560,2022
RIAU,April,597000,2022
JAMBI,April,310853,2022
SUMATERA SELATAN,April,725485,2022
